Datum Wind Regen Sonne Wolken Luftdruck Temperatur
2020-10-24 4.1 0 6.017 5.4 1000.89 12.2
2020-11-27 1.8 0.3 2.167 7.1 1009.92 5.7
2020-11-28 1.7 0 0 7.3 1012.83 3.1
2020-11-30 2.9 0 0 7.5 1010.73 1
2020-12-01 3 0 0 7 1005.02 2
2020-12-05 4 0 2.017 7.5 988.19 2.6
2020-12-16 2.8 0 0.833 6.6 1007.82 7.3
2021-01-08 2.8 0.5 0 7.9 999.86 0.2
2021-01-20 5.7 0.2 0.483 8 990.77 5.2
2021-01-21 6.2 1.1 3.1 7.8 984.59 8
2021-01-30 2.4 0 0.85 7.4 990.05 -1.6
2021-03-03 3.7 0 8.183 2.9 1014.05 7
2021-03-07 5.8 0.7 0.05 7.9 1009.61 2.7
2021-03-12 6.8 1.4 3.683 7.5 990.8 6.5
2021-03-19 3.9 0.2 2.417 5.3 1010.34 0.5
2021-03-20 3.7 0 4.617 7.8 1013.49 0.7
2021-03-22 3.7 0.3 9.117 6.7 1007.37 4.5
2021-03-23 3.8 0 0 8 1011.28 5.5
2021-03-25 2.6 0.4 7.383 6.5 1007.57 9.5
2021-05-02 4 2.6 0.533 7.1 1000.15 8.4
2021-05-11 3.8 15.6 10.183 6.4 993.5 19.8
2021-05-21 5.5 0.6 7.683 5.1 994.22 14.9
2021-05-22 5.9 0.4 3.833 7 992.93 12.4
2021-06-25 2.3 0 3 7.8 1005.6 19.6
2021-07-08 2.7 4.2 2.917 7.6 1008.96 18.1
2021-07-29 5.3 0 7.967 4.1 998.76 19.9
2021-08-06 2.9 19 7.45 5.9 994.27 18.3
2021-08-12 2.3 0 11.517 5.2 1009.28 20.8
2021-08-19 5.1 0.2 0.667 7.9 1000.27 17.8
2021-08-22 3.5 11.8 1.633 7.8 1004.17 17.5
2021-08-26 5 17.4 1.95 7.6 997.05 13.5
2021-10-04 2.8 1.2 0 7.9 1005.61 13.6
2021-10-16 3.4 0.1 2.617 7.2 1008.89 8.2
2021-10-20 6.3 1 1.217 7.9 994.59 15.1
2021-10-25 4.5 0 6.133 5.2 1008.18 6.2
2021-11-05 5.7 0 0.067 7.7 1005.03 7.6
2021-11-08 5.2 0.7 0.633 7.6 1006.83 8.3
2021-11-30 7.7 4.5 0 7.4 987.68 3.2
2021-12-16 5 0.1 1.683 6 1021.28 6.6
2021-12-28 5 3 0 7.5 987.32 -0.7
2022-01-12 3.7 0 0.117 7.9 1023.9 0.6
2022-01-22 3.5 1.3 1.083 7.8 1014.81 2.8
2022-01-28 8 0.9 5.317 6.5 1011.15 4
2022-02-03 4.3 4 0 7.3 1003.37 4
2022-02-28 3 0 7.283 3.6 1023.9 1
2022-03-02 2.6 0 7.167 5.1 1013.63 1.7
2022-03-06 2.4 0 0.183 8 1013.26 0.3
2022-03-08 2 0 10.867 0.4 1013.78 3.9
2022-03-12 5.8 0 11.183 0 1012.66 4
2022-03-14 4.6 1.3 7.7 3.8 1012.85 6.5
