K L M
20.1 20.75 20.27
23.02 33.37 23.5
19.58 9.39 22.71
18.67 16.59 23.21
22.05 15.37 15.24
20.81 11.93 19.66
19.95 25.99 25.19
15.4 21.75 20.18
31.82 27.46 13.14
18.62 29.31 21.19
21.41 23.82 29.03
14.6 25.94 19.55
19.99 27.19 25.84
21.07 21.52 16.2
19.55 27.7 23.66
16.61 12.43 16.34
13.91 32.23 22.9
14.21 23.62 26.7
22.94 22.69 22.72
17.71 23.98 25.96
24.16 24.12 20.81
17.39 22.24 27.03
17.8 18.23 8
15.13 20.22 19.37
27.7 20.5 14.28
4.12 24.08 24.07
14.29 14.34 34.08
23.99 25.28 25.3
21.29 16.41 18.71
20.79 15.6 29.62
17.08 25.64 20.59
17.54 17.75 22.06
23.16 19.74 26.96
19.15 18.39 22.4
20.09 10.29 33.09
19.34 18.64 19.12
23.44 27.47 26.45
18.22 21.06 17.62
30.49 23.41 35.57
9.84 50.25 44.89
16.48 12.11 22.56
21.84 15.92 17.71
14.92 27.9 25.49
20.25 26.89 22.42
19.18 20.08 23.54
17.6 21.42 18.06
14.69 5.3 21.79
29.81 10.46 20.78
23.34 18.09 15.04
15.42 21.25 14.39
